ATLAS Name,RA (degrees),Dec (degrees),A_g,A_r,A_i
ATLAS18bahh,51.508933,-17.562916,0.146,0.101,0.075
ATLAS18bbdr,171.677173,20.726959,0.064,0.044,0.033
ATLAS18bbds,157.468158,20.669373,0.072,0.05,0.037
ATLAS18bbdt,120.029826,58.70973,0.181,0.125,0.093
ATLAS18bbes,28.825813,5.492934,0.147,0.102,0.075
ATLAS18bbfv,204.833701,34.688811,0.033,0.023,0.017
ATLAS18bbhe,204.833701,34.688811,0.033,0.023,0.017
ATLAS18bbtb,192.104043,-5.794193,0.105,0.072,0.054
ATLAS18bbtc,179.98753,-0.55048,0.103,0.071,0.053
ATLAS18bbtd,172.885239,-2.309388,0.102,0.071,0.052
ATLAS18bbtk,153.039664,-38.883667,0.391,0.271,0.201
ATLAS18bbtu,341.906734,39.880595,0.373,0.258,0.192
ATLAS18bbuh,333.669294,-27.464567,0.074,0.051,0.038
ATLAS18bbwp,146.806847,-24.868507,0.21,0.145,0.108
ATLAS18bbzi,137.350326,-8.180262,0.199,0.138,0.102
ATLAS18bcbn,334.033006,-36.848897,0.066,0.046,0.034
ATLAS18bcde,55.179453,-6.42331,0.184,0.127,0.095
ATLAS18bcfv,190.672474,13.265253,0.085,0.059,0.044
ATLAS18bcfw,196.651369,27.873941,0.037,0.025,0.019
ATLAS18bchn,87.644339,13.299235,1.117,0.773,0.574
ATLAS18bcij,3.260289,22.102226,0.204,0.141,0.105
ATLAS18bcld,353.652011,-4.534546,0.138,0.095,0.071
ATLAS18bcle,142.229672,49.238139,0.047,0.033,0.024
ATLAS18bclf,138.730065,46.90251,0.061,0.042,0.031
ATLAS18bclg,217.133228,27.408473,0.079,0.055,0.041
ATLAS18bclh,151.449824,-17.434409,0.128,0.089,0.066
ATLAS18bcli,35.670157,28.25692,0.348,0.241,0.179
ATLAS18bclj,125.922674,21.434921,0.162,0.112,0.083
ATLAS18bclk,317.579208,-29.522848,0.295,0.204,0.152
ATLAS18bcll,17.846862,13.160264,0.094,0.065,0.048
ATLAS18bclm,165.493961,45.227603,0.029,0.02,0.015
ATLAS18bcln,14.724817,-24.19647,0.076,0.052,0.039
ATLAS18bclo,195.921592,-11.598449,0.19,0.131,0.098
ATLAS18bclp,207.199202,6.355218,0.082,0.056,0.042
ATLAS18bclq,165.189059,22.287428,0.057,0.04,0.03
ATLAS18bclr,27.710405,48.353692,0.618,0.428,0.318
ATLAS18bcls,204.37256,4.10466,0.084,0.058,0.043
ATLAS18bclt,192.832733,21.230289,0.146,0.101,0.075
ATLAS18bclu,212.256108,-30.557925,0.205,0.142,0.105
ATLAS18bclv,193.922061,27.249859,0.03,0.021,0.015
ATLAS18bclw,180.779262,20.805708,0.091,0.063,0.047
ATLAS18bclx,213.576717,10.678256,0.086,0.06,0.044
ATLAS18bcly,61.486321,-15.145443,0.154,0.106,0.079
ATLAS18bclz,156.961716,-43.901998,0.402,0.278,0.207
ATLAS18bcma,102.773995,12.915456,0.757,0.523,0.389
ATLAS18bcmb,53.582302,39.593072,0.521,0.36,0.268
ATLAS18bcmc,207.074017,3.945747,0.076,0.053,0.039
ATLAS18bcmd,59.976278,67.532745,2.034,1.407,1.046
ATLAS18bcme,180.884964,-43.654842,0.464,0.321,0.238
ATLAS18bcmf,24.023091,11.688216,0.17,0.118,0.087
ATLAS18bcmg,97.622679,74.444385,0.405,0.28,0.208
ATLAS18bcmh,223.833973,16.506745,0.098,0.068,0.05
ATLAS18bcmi,201.379396,-14.354883,0.187,0.13,0.096
ATLAS18bcmj,284.351079,-19.570849,0.798,0.552,0.41
ATLAS18bcmk,210.83716,-0.548658,0.167,0.115,0.086
ATLAS18bcmm,217.239766,11.191664,0.119,0.083,0.061
ATLAS18ebh,121.394096,-11.438003,0.191,0.132,0.098
